assessment_id,Longitude,Latitude
2296028,-88.229919,32.824532
2296028,-88.87695,32.55194
2296028,-80.825537,32.329604
2296028,-79.822123,33.105507
2296028,-82.355096,29.644285
2296028,-88.71468,33.438152
2296028,-84.133965,31.773449
2296028,-85.15028,31.55333
2296028,-81.955804,32.882002
2296028,-87.218097,30.555172
2296028,-89.406944,32.339056
2296028,-81.56,31.25
2296028,-84.933019,31.47309
2296028,-81.75,31.75
2296028,-88.068886,32.480087
2296028,-84.976322,30.454965
2296028,-82.06,32.04
2296028,-82.29,31.75
2296028,-84.133965,31.773449
2296028,-88.442324,33.468794
2296028,-89.085672,31.141181
2296028,-81.0797,29.3278
2296028,-81.41,31.51
2296028,-84.302612,30.234914
2296028,-82.110349,33.821322
2296028,-84.66877,30.76785
2296028,-82.103,33.976556
2296028,-79.95,32.84
2296028,-89.842189,31.222754
2296028,-88.489704,33.517397
2296028,-81.95017,30.824462
2296028,-84.133965,31.773449
2296028,-82.3442,29.6453
2296028,-81.883479,28.771655
2296028,-81.75,31.75
2296028,-82.39509,29.707559
2296028,-85.150167,31.557419
2296028,-81.41,31.51
2296028,-87.02028,33.02417
2296028,-82.442582,28.703569
2296028,-82.888112,32.094032
2296028,-84.21,31.53
2296028,-81.75,31.75
2296028,-82.0414,29.2189
2296028,-84.133965,31.773449
2296028,-80.75531,32.271213
2296028,-84.939282,31.470733
2296028,-81.97093,30.781258
2296028,-88.080528,32.714139
2296028,-86.31497,30.703186
2296028,-81.14,32.78
2296028,-84.133965,31.773449
2296028,-83.538306,31.162894
